zipcode,superzip,rank,city,state,adultpop,households,college,income,centile
1453,0,8.765614549914716,Leominster,MA,27883,11042,21.97038%,4.267769298303926,49
1460,0,7.057036981697891,Littleton,MA,5586,2255,48.1382%,4.6914221913947545,49
1462,0,8.188966863648876,Lunenburg,MA,6467,2674,31.51384%,4.426779493215122,49
1463,0,7.876258882303226,Pepperell,MA,6975,3018,32.83154%,4.571812451934041,49
1464,0,8.534246945982066,Shirley,MA,4516,1418,19.61913%,4.46162886073425,49
1467,1,null,Still River,MA,127,40,70.07874%,4.928892920586523,49
1468,0,8.899321434159964,Templeton,MA,2157,927,17.43162%,4.292991438415606,49
1469,0,8.176672771948455,Townsend,MA,3720,1662,28.01075%,4.503444168643408,49
1473,0,8.34711636103872,Westminster,MA,4639,1935,28.51908%,4.392662992532941,49
1474,0,8.326032685955079,West Townsend,MA,1981,821,28.57143%,4.405964572324841,49
1475,0,9.241063544619024,Winchendon,MA,6011,2521,13.74147%,4.1806563473321665,49
1501,0,8.508757712595136,Auburn,MA,11403,4392,24.37955%,4.3786573399699025,49
1503,0,7.673223121121708,Berlin,MA,1626,659,36.40836%,4.604424708188552,49
1504,0,8.777401286867264,Blackstone,MA,5663,2326,16.3341%,4.389390827322808,49
1505,0,7.59488438721652,Boylston,MA,2863,1143,37.72267%,4.619812462724961,49
1506,0,8.963800242855577,Brookfield,MA,2080,868,16.77885%,4.266742739188594,49
1507,0,8.201934351194222,Charlton,MA,7275,3048,26.43299%,4.519655651806464,49
1510,0,8.760453046315272,Clinton,MA,9393,3406,23.02779%,4.24427979810855,49
1515,0,8.900412690577083,East Brookfield,MA,1428,598,16.2465%,4.319978343671223,49
1516,0,8.372629740224884,Douglas,MA,4542,1955,23.93219%,4.4726919528820615,49
1518,0,8.431853144249223,Fiskdale,MA,1496,633,27.40642%,4.364136684543971,49
1519,0,7.10085190894405,Grafton,MA,3805,1587,47.72668%,4.681536605927627,49
1520,0,7.450660796211539,Holden,MA,8626,3643,45.22374%,4.559775565429966,49
1521,0,8.778325928634482,Holland,MA,1602,676,19.78776%,4.311665595529399,49
1522,0,7.223295679562314,Jefferson,MA,1954,820,46.2129%,4.647566620427092,49
1523,0,8.11552088154677,Lancaster,MA,4903,1549,30.94024%,4.476759033958821,49
1524,0,8.570733958344267,Leicester,MA,3997,1596,19.83988%,4.433850288396053,49
1527,0,8.693664334532016,Millbury,MA,9005,3471,17.79012%,4.404383472685019,49
1529,0,8.629449873761905,Millville,MA,1712,733,20.44393%,4.3874419453751505,49
1531,0,8.62299361030245,New Braintree,MA,574,267,21.42857%,4.369463928287172,49
1532,0,6.75343791859778,Northborough,MA,9221,3936,51.04653%,4.77332182196755,49
1534,0,8.329658067569396,Northbridge,MA,3282,1245,23.766%,4.500268898202337,49
1535,0,9.015905747298426,North Brookfield,MA,3100,1241,17.64516%,4.214617828013397,49
1536,0,8.135639903354386,North Grafton,MA,4390,1651,31.20729%,4.461281686073797,49
1537,0,9.020873347021357,North Oxford,MA,1271,484,19.43352%,4.164574668018937,49
1540,0,8.771680359010377,Oxford,MA,7557,3092,17.52018%,4.366513424659705,49
1541,0,6.792344427470809,Princeton,MA,2218,967,54.77908%,4.702575442313402,49
1542,0,8.105911197986508,Rochdale,MA,1304,484,24.46319%,4.602263264984262,49
1543,0,8.080856419640986,Rutland,MA,3996,1687,29.5045%,4.5264834086254195,49
1545,0,7.27931883541462,Shrewsbury,MA,21894,8755,46.06285%,4.619992786450879,49
1550,0,9.592332123898705,Southbridge,MA,11291,4594,12.4524%,4.002595799702543,49
1560,0,9.032409163483521,South Grafton,MA,1858,714,16.68461%,4.229006565465497,49
